ProcessGroup,Process,CommodityOut,SectorGroup,Sector,EnduseGroup,EndUse,TechnologyGroup,Technology
Demand,C_DATA-OTH-ELEC-ELC,C_DATA-OTH,Commercial,Data Centre,Electronics and Lighting,Electronics and Other Electrical Uses,Electronics and Lights,Electronics
Demand,C_DATA-LT-FLU-ELC,C_DATA-LT,Commercial,Data Centre,Electronics and Lighting,Lighting,Electronics and Lights,Lights (Fluorescent)
Demand,C_DATA-LT-INC-ELC,C_DATA-LT,Commercial,Data Centre,Electronics and Lighting,Lighting,Electronics and Lights,Lights (Incandescent)
Demand,C_DATA-LT-LED-ELC,C_DATA-LT,Commercial,Data Centre,Electronics and Lighting,Lighting,Electronics and Lights,Lights (LED)
Demand,C_DATA-SC-AIRHP-ELC,C_DATA-SC,Commercial,Data Centre,Heating/Cooling,Space Cooling,Heat/Cooling Devices,Heat Pump (for Cooling)
Demand,C_EDU-OTH-ELEC-ELC,C_EDU-OTH,Commercial,Education,Electronics and Lighting,Electronics and Other Electrical Uses,Electronics and Lights,Electronics
Demand,C_EDU-LT-FLU-ELC,C_EDU-LT,Commercial,Education,Electronics and Lighting,Lighting,Electronics and Lights,Lights (Fluorescent)
Demand,C_EDU-LT-INC-ELC,C_EDU-LT,Commercial,Education,Electronics and Lighting,Lighting,Electronics and Lights,Lights (Incandescent)
Demand,C_EDU-LT-LED-ELC,C_EDU-LT,Commercial,Education,Electronics and Lighting,Lighting,Electronics and Lights,Lights (LED)
Demand,C_EDU-SC-AIRHP-ELC,C_EDU-SC,Commercial,Education,Heating/Cooling,Space Cooling,Heat/Cooling Devices,Heat Pump (for Cooling)
Demand,C_EDU-SH-AIRHP-ELC,C_EDU-SH,Commercial,Education,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Heat Pump (for Heating)
Demand,C_EDU-WH-Cylinder-ELC,C_EDU-WH,Commercial,Education,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Hot Water Cylinder
Demand,C_EDU-RF-Refriger-ELC,C_EDU-RF,Commercial,Education,Heating/Cooling,Refrigeration,Heat/Cooling Devices,Refrigeration Systems
Demand,C_EDU-SH-RH-ELC,C_EDU-SH,Commercial,Education,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Resistance Heater
Demand,C_EDU-MPS-MPS-ELC,C_EDU-MPS,Commercial,Education,Stationary Motive Power,"Motive Power, Stationary",Stationary Motors,Electric Motor
Demand,C_EDU-SH-Boiler-COA,C_EDU-SH,Commercial,Education,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Boiler Systems
Demand,C_EDU-WH-Boiler-COA,C_EDU-WH,Commercial,Education,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Boiler Systems
Demand,C_EDU-SH-Boiler-DSL,C_EDU-SH,Commercial,Education,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Boiler Systems
Demand,C_EDU-MPM-MPM-DSL,C_EDU-MPM,Commercial,Education,Mobile Motive Power,"Motive Power, Mobile",Mobile Motors,Internal Combustion Engine (Land Transport)
Demand,C_EDU-SH-Boiler-NGA,C_EDU-SH,Commercial,Education,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Boiler Systems
Demand,C_EDU-SH-Burner-NGA,C_EDU-SH,Commercial,Education,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Burner (Direct Heat)
Demand,C_EDU-WH-Cylinder-NGA,C_EDU-WH,Commercial,Education,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Hot Water Cylinder
Demand,C_EDU-MPM-MPM-PET,C_EDU-MPM,Commercial,Education,Mobile Motive Power,"Motive Power, Mobile",Mobile Motors,Internal Combustion Engine (Land Transport)
Demand,C_EDU-MPS-MPS-PET,C_EDU-MPS,Commercial,Education,Stationary Motive Power,"Motive Power, Stationary",Stationary Motors,Stationary Engine
Demand,C_EDU-SH-DirectH-GEO,C_EDU-SH,Commercial,Education,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Direct Heat
Demand,C_EDU-SH-Boiler-WOD,C_EDU-SH,Commercial,Education,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Boiler Systems
Demand,C_HLTH-OTH-ELEC-ELC,C_HLTH-OTH,Commercial,Healthcare,Electronics and Lighting,Electronics and Other Electrical Uses,Electronics and Lights,Electronics
Demand,C_HLTH-LT-FLU-ELC,C_HLTH-LT,Commercial,Healthcare,Electronics and Lighting,Lighting,Electronics and Lights,Lights (Fluorescent)
Demand,C_HLTH-LT-INC-ELC,C_HLTH-LT,Commercial,Healthcare,Electronics and Lighting,Lighting,Electronics and Lights,Lights (Incandescent)
Demand,C_HLTH-LT-LED-ELC,C_HLTH-LT,Commercial,Healthcare,Electronics and Lighting,Lighting,Electronics and Lights,Lights (LED)
Demand,C_HLTH-SC-AIRHP-ELC,C_HLTH-SC,Commercial,Healthcare,Heating/Cooling,Space Cooling,Heat/Cooling Devices,Heat Pump (for Cooling)
Demand,C_HLTH-SH-AIRHP-ELC,C_HLTH-SH,Commercial,Healthcare,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Heat Pump (for Heating)
Demand,C_HLTH-WH-Cylinder-ELC,C_HLTH-WH,Commercial,Healthcare,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Hot Water Cylinder
Demand,C_HLTH-RF-Refriger-ELC,C_HLTH-RF,Commercial,Healthcare,Heating/Cooling,Refrigeration,Heat/Cooling Devices,Refrigeration Systems
Demand,C_HLTH-PH-RH-ELC,C_HLTH-PH,Commercial,Healthcare,Heating/Cooling,"Intermediate Heat (100-300 C), Process Requirements",Heat/Cooling Devices,Resistance Heater
Demand,C_HLTH-SH-RH-ELC,C_HLTH-SH,Commercial,Healthcare,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Resistance Heater
Demand,C_HLTH-MPS-MPS-ELC,C_HLTH-MPS,Commercial,Healthcare,Stationary Motive Power,"Motive Power, Stationary",Stationary Motors,Electric Motor
