Technology,Life,Note
Electric Furnace,,Assume no retirement of these
Electronics,,Assume no retirement of these
Lights,10,https://www.ird.govt.nz/-/media/project/ir/home/documents/forms-and-guides/ir200---ir299/ir265/ir265-august-2024.pdf
Boiler Systems,,Assume no retirement of these
Burner (Direct Heat),,Assume no retirement of these
Furnace/Kiln,,Assume no retirement of these
Heat Pump (for Heating),15,https://www.ird.govt.nz/-/media/project/ir/home/documents/forms-and-guides/ir200---ir299/ir265/ir265-august-2024.pdf
Resistance Heater,15.5,https://www.ird.govt.nz/-/media/project/ir/home/documents/forms-and-guides/ir200---ir299/ir265/ir265-august-2024.pdf
Electric Motor,10,https://www.ird.govt.nz/-/media/project/ir/home/documents/forms-and-guides/ir200---ir299/ir265/ir265-august-2024.pdf
"Pump Systems (for Fluids, etc.)",10,https://www.ird.govt.nz/-/media/project/ir/home/documents/forms-and-guides/ir200---ir299/ir265/ir265-august-2024.pdf (Centrifugal Pump)
Internal Combustion Engine (Land Transport),15.5,https://www.ird.govt.nz/-/media/project/ir/home/documents/forms-and-guides/ir200---ir299/ir265/ir265-august-2024.pdf
Stationary Engine,20,https://www.eeca.govt.nz/assets/EECA-Resources/Research-papers-guides/Technology-Scan-of-Electric-Motor-Applications_EECA.pdf
Air Compressors,15.5,https://www.ird.govt.nz/-/media/project/ir/home/documents/forms-and-guides/ir200---ir299/ir265/ir265-august-2024.pdf
Fan Systems,16,https://www.ird.govt.nz/-/media/project/ir/home/documents/forms-and-guides/ir200---ir299/ir265/ir265-august-2024.pdf
HVAC,10,https://www.ird.govt.nz/-/media/project/ir/home/documents/forms-and-guides/ir200---ir299/ir265/ir265-august-2024.pdf (Ventilation in roof)
Refrigeration Systems,20,https://www.ird.govt.nz/-/media/project/ir/home/documents/forms-and-guides/ir200---ir299/ir265/ir265-august-2024.pdf
Industrial Ovens,,Assume no retirement of these
Feedstock,,Assume no retirement of these
Reformer,,Assume no retirement of these
Refiners,,Assume no retirement of these
