Attribute,Commodity,Process,Period,Region,Vintage,TimeSlice,UserConstraint,Value,Scenario,Variable,ProcessGroup,Description,CommodityGroup,SectorGroup,Sector,EndUse
VAR_FOut,OTHR-FURNC-PH_HIGH,IMPDEMZ,2023,NI,2023,ANNUAL,-,0.0659114159999992,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Industry,Other,"High Temperature Heat (>300 C), Process Requirements"
VAR_FOut,T_F_HTrk,IMPDEMZ,2023,NI,2023,ANNUAL,-,1.1972408985931,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Transport,Road Transport,Heavy Truck
VAR_FOut,T_F_MTrk,IMPDEMZ,2023,NI,2023,ANNUAL,-,0.5285830784751,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Transport,Road Transport,Medium Truck
VAR_FOut,T_F_Rail,IMPDEMZ,2023,NI,2023,ANNUAL,-,0.318717554071855,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Transport,Rail Transport,Freight Rail
VAR_FOut,T_P_Bus,IMPDEMZ,2023,NI,2023,ANNUAL,-,0.202107478238461,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Transport,Road Transport,Bus
VAR_FOut,T_P_Car,IMPDEMZ,2023,NI,2023,ANNUAL,-,0.0929748438329006,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Transport,Road Transport,Passenger car
VAR_FOut,T_P_Rail,IMPDEMZ,2023,NI,2023,ANNUAL,-,0.11106232426224,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Transport,Rail Transport,Passenger Rail
VAR_FOut,ADCF-IRG,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.0310804075800002,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,"Agriculture, Forestry, and Fishing",Dairy Cattle Farming,Irrigation
VAR_FOut,ADCF-LT,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.0014543881333336,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,"Agriculture, Forestry, and Fishing",Dairy Cattle Farming,Lighting
VAR_FOut,ADCF-MoTP-Mob,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.0141343535569041,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,"Agriculture, Forestry, and Fishing",Dairy Cattle Farming,"Motive Power, Mobile"
